Nitrogen (mg/kg),Phosphorus (mg/kg),Potassium (mg/kg),pH,Conductivity (us/cm),Temperature Soil (°C),Humidity (%RH),Salinity (mg/L),TDS (mg/L),Conductivity factor (%),Salinity factor (%),feels_like,temp_min,temp_max,pressure,humidity,Recommended Fertilizer
61,29,209,5.668279929990097,1.797031947352222,28.8306348801548,78.76337282204422,141,203,8.767656367617494,1.8192813049527112,22.971217156231752,20.55237056565697,27.537338668804182,1013,88.76807113089055,Enxofre Elementar
24,11,145,5.823257428189228,1.8109526824151598,24.063028469374288,70.83346657002147,110,333,3.4208174871590744,8.617856210135173,25.66404640296897,21.773110788203883,25.03192935858417,1014,69.13818965325194,Nitrato de Amônio (NH₄NO₃)
81,13,229,7.297108377054158,1.9561448522473097,27.9174895932929,88.48282568974321,71,317,8.212573046720129,9.461154621336327,24.760504021990997,21.43619495827041,26.435190665874565,1005,99.85335664226967,Superfosfato Simples
70,28,162,6.71285811931918,2.0891370005839924,21.84059521236734,83.96559103938577,198,293,1.1063173695520723,3.7330931627975295,26.63671165362648,21.48154060227995,28.08463459187871,1010,98.99172648587133,Fertilizante Completo
30,5,111,5.518394103233259,2.463778119193802,28.746278741954406,65.6915928770712,119,261,8.464522917345182,2.707446731435538,29.36829739324758,21.16803875524955,29.905930890137117,1012,86.01302745387747,Superfosfato Simples
92,16,235,5.702943085732064,1.774450522451793,22.67042014480996,91.88245145728449,50,393,1.2748866233198242,6.439995432390157,27.325720972102502,20.21046594818181,28.159067635083343,1024,67.9816980371658,Enxofre Elementar
96,12,101,6.827003538216111,1.484434709411869,18.13005181776358,88.78880350231091,182,402,3.9728729056036727,4.087341710980964,22.149403785907566,20.08936967366707,26.2990179053208,1000,87.20912969725165,Superfosfato Simples
84,28,61,5.510123167692438,2.1927792921530553,28.864583717031163,93.24299696521734,61,225,7.972953657795536,0.2538635566034486,20.311831350612845,24.93861194868016,28.170028515498057,1005,62.887936359167036,Cloreto de Potássio (KCl)
84,15,88,5.821616102834997,1.4062483768931113,19.095440121433604,85.40018279359259,139,372,1.4991742734877378,1.5615259736619036,22.62264044299825,22.138865668679312,27.699926898579278,1008,61.22610008823224,Cloreto de Potássio (KCl)
97,23,179,6.5974675787331725,1.6584571310584542,21.831763651084977,81.46953185775264,95,499,2.2925139523264146,7.159722288473976,25.95077930700255,21.92163323579841,28.899226975755717,1007,70.30731554044854,Fertilizante Completo
33,21,180,6.883790395385386,1.117684572013399,29.40074360460966,74.63850627017166,83,332,7.222525683930662,6.589239419101514,20.514258134842503,23.398236413465348,25.53490319413479,1010,78.50491826957266,Fertilizante Completo
12,12,162,6.8039225190052015,1.0380261151231862,29.407285763250673,92.64549691739046,127,317,7.200365365460744,0.2709599250348349,24.963662472012363,21.09126943932532,28.80513951251014,1021,94.73090021633521,Nitrato de Amônio (NH₄NO₃)
31,7,150,5.94853861892112,2.4439726220168874,24.88125465747943,90.3122361325143,94,474,6.411476328852973,2.219721619329494,25.968428489168893,24.749805919751125,27.70633289338055,1018,89.08676279065233,Superfosfato Simples
62,7,162,6.9243584426950715,2.2539701807683086,25.582046546037592,61.58265345371663,122,411,6.939484444671001,2.310747965880714,23.34243890816961,23.93172507207776,29.814960019294972,1023,89.70826084799924,Superfosfato Simples
11,5,233,5.974498174993601,2.043961309140547,23.381346263739836,60.92284410740382,75,424,5.427244433475962,6.718927435987284,27.70912203745822,20.447055011561297,26.70936083019343,1008,77.01973337792302,Nitrato de Amônio (NH₄NO₃)
97,9,130,6.1507993963185355,1.613429416621405,21.518529260376773,73.17621784073174,96,219,2.5179905890695276,0.19710537754364155,21.065982531337717,22.087903878924642,28.16310946566974,1016,73.83739970187852,Superfosfato Simples
39,14,236,6.9929828102360485,1.2599414801062687,21.94397454443899,88.36936657736415,170,312,3.4569599350391944,1.0410858198457384,20.751377817358087,24.395591537810823,29.660140527550087,1011,74.8415505193841,Superfosfato Simples
47,11,162,6.79926579809443,1.234655564006629,26.07022147292446,94.55466452602306,105,339,1.8159771680142567,7.999160853731894,27.281887562036033,24.72366011145705,25.512548639953398,1024,99.50598254944231,Superfosfato Simples
11,13,51,7.198446820988356,1.375364347246893,27.02849435325216,65.26459118862348,143,246,9.084505613336283,1.7854466205433361,24.954913162061985,22.337007556249347,29.686142436182255,1013,61.6043676564993,Nitrato de Amônio (NH₄NO₃)
73,11,179,6.8152257846006865,1.8238399970591808,27.498948524710183,80.79457503732473,156,200,5.833917947661204,6.527461078518747,26.88402396427736,23.06705694605354,28.439428611504066,1014,94.68125984489794,Superfosfato Simples
